"location"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
"Afghanistan"	5	"Full Range"	1990.000	2021.000	-4.700	-5.071	-4.328	1	-24.226	0.000
"Albania"	5	"Full Range"	1990.000	2021.000	-8.434	-8.901	-7.964	1	-33.759	0.000
"Algeria"	5	"Full Range"	1990.000	2021.000	-3.967	-4.210	-3.723	1	-31.299	0.000
"American Samoa"	2	"Full Range"	1990.000	2021.000	-0.505	-0.747	-0.263	1	-4.083	0.000
"Andorra"	5	"Full Range"	1990.000	2021.000	-5.909	-6.316	-5.500	1	-27.540	0.000
"Angola"	4	"Full Range"	1990.000	2021.000	-4.980	-5.101	-4.860	1	-79.152	0.000
"Antigua and Barbuda"	5	"Full Range"	1990.000	2021.000	-0.835	-1.818	0.158	0	-1.650	0.099
"Argentina"	4	"Full Range"	1990.000	2021.000	-0.337	-1.312	0.648	0	-0.672	0.502
"Armenia"	5	"Full Range"	1990.000	2021.000	-3.776	-4.648	-2.896	1	-8.283	0.000
"Australia"	2	"Full Range"	1990.000	2021.000	-1.861	-3.424	-0.273	1	-2.294	0.022
"Austria"	3	"Full Range"	1990.000	2021.000	-5.119	-6.090	-4.139	1	-10.020	0.000
"Azerbaijan"	4	"Full Range"	1990.000	2021.000	-5.577	-5.838	-5.315	1	-40.596	0.000
"Bahamas"	5	"Full Range"	1990.000	2021.000	-2.185	-2.828	-1.537	1	-6.558	0.000
"Bahrain"	3	"Full Range"	1990.000	2021.000	-3.548	-3.929	-3.166	1	-17.910	0.000
"Bangladesh"	4	"Full Range"	1990.000	2021.000	-5.761	-6.418	-5.100	1	-16.635	0.000
"Barbados"	3	"Full Range"	1990.000	2021.000	-1.004	-1.639	-0.364	1	-3.071	0.002
"Belarus"	4	"Full Range"	1990.000	2021.000	-4.061	-5.453	-2.649	1	-5.561	0.000
"Belgium"	5	"Full Range"	1990.000	2021.000	-3.863	-4.902	-2.813	1	-7.106	0.000
"Belize"	5	"Full Range"	1990.000	2021.000	-2.575	-3.340	-1.803	1	-6.481	0.000
"Benin"	4	"Full Range"	1990.000	2021.000	-3.264	-3.501	-3.027	1	-26.556	0.000
"Bermuda"	4	"Full Range"	1990.000	2021.000	-3.813	-4.469	-3.153	1	-11.145	0.000
"Bhutan"	4	"Full Range"	1990.000	2021.000	-6.258	-7.030	-5.480	1	-15.324	0.000
"Bolivia (Plurinational State of)"	3	"Full Range"	1990.000	2021.000	-6.584	-7.085	-6.080	1	-24.817	0.000
"Bosnia and Herzegovina"	5	"Full Range"	1990.000	2021.000	-4.267	-5.000	-3.528	1	-11.117	0.000
"Botswana"	5	"Full Range"	1990.000	2021.000	-3.737	-4.642	-2.823	1	-7.903	0.000
"Brazil"	4	"Full Range"	1990.000	2021.000	-5.549	-6.047	-5.048	1	-21.158	0.000
"Brunei Darussalam"	5	"Full Range"	1990.000	2021.000	-2.666	-3.717	-1.604	1	-4.879	0.000
"Bulgaria"	4	"Full Range"	1990.000	2021.000	-5.220	-6.549	-3.873	1	-7.446	0.000
"Burkina Faso"	4	"Full Range"	1990.000	2021.000	-2.979	-3.315	-2.641	1	-17.066	0.000
"Burundi"	2	"Full Range"	1990.000	2021.000	-3.302	-3.553	-3.051	1	-25.350	0.000
"Cabo Verde"	5	"Full Range"	1990.000	2021.000	-2.409	-3.175	-1.637	1	-6.067	0.000
"Cambodia"	3	"Full Range"	1990.000	2021.000	-4.984	-5.183	-4.784	1	-47.824	0.000
"Cameroon"	4	"Full Range"	1990.000	2021.000	-2.488	-2.783	-2.193	1	-16.342	0.000
"Canada"	5	"Full Range"	1990.000	2021.000	-5.571	-7.316	-3.793	1	-6.022	0.000
"Central African Republic"	5	"Full Range"	1990.000	2021.000	-2.056	-2.213	-1.898	1	-25.270	0.000
"Chad"	4	"Full Range"	1990.000	2021.000	-1.680	-1.859	-1.501	1	-18.249	0.000
"Chile"	5	"Full Range"	1990.000	2021.000	-6.513	-7.730	-5.280	1	-10.075	0.000
"China"	4	"Full Range"	1990.000	2021.000	-8.259	-8.561	-7.957	1	-51.282	0.000
"Colombia"	3	"Full Range"	1990.000	2021.000	-5.754	-6.419	-5.085	1	-16.410	0.000
"Comoros"	5	"Full Range"	1990.000	2021.000	-3.461	-4.019	-2.900	1	-11.917	0.000
"Congo"	3	"Full Range"	1990.000	2021.000	-3.244	-3.452	-3.036	1	-30.083	0.000
"Cook Islands"	5	"Full Range"	1990.000	2021.000	-4.714	-5.126	-4.300	1	-21.851	0.000
"Costa Rica"	3	"Full Range"	1990.000	2021.000	-4.101	-4.873	-3.323	1	-10.157	0.000
"Croatia"	5	"Full Range"	1990.000	2021.000	-3.560	-5.173	-1.919	1	-4.212	0.000
"Cuba"	3	"Full Range"	1990.000	2021.000	-0.907	-1.655	-0.153	1	-2.355	0.019
"Cyprus"	3	"Full Range"	1990.000	2021.000	-5.685	-6.203	-5.165	1	-20.847	0.000
"Czechia"	5	"Full Range"	1990.000	2021.000	-3.188	-4.448	-1.912	1	-4.849	0.000
"Côte d'Ivoire"	5	"Full Range"	1990.000	2021.000	-2.605	-2.885	-2.324	1	-17.985	0.000
"Democratic People's Republic of Korea"	4	"Full Range"	1990.000	2021.000	-3.545	-3.786	-3.304	1	-28.316	0.000
"Democratic Republic of the Congo"	3	"Full Range"	1990.000	2021.000	-2.671	-2.751	-2.591	1	-64.494	0.000
"Denmark"	5	"Full Range"	1990.000	2021.000	-4.259	-6.024	-2.462	1	-4.586	0.000
"Djibouti"	2	"Full Range"	1990.000	2021.000	-2.949	-3.283	-2.613	1	-17.006	0.000
"Dominica"	2	"Full Range"	1990.000	2021.000	-1.213	-1.679	-0.745	1	-5.061	0.000
"Dominican Republic"	5	"Full Range"	1990.000	2021.000	-5.074	-5.958	-4.182	1	-10.912	0.000
"Ecuador"	3	"Full Range"	1990.000	2021.000	-5.368	-6.702	-4.015	1	-7.617	0.000
"Egypt"	5	"Full Range"	1990.000	2021.000	-5.071	-5.465	-4.676	1	-24.539	0.000
"El Salvador"	3	"Full Range"	1990.000	2021.000	-5.306	-5.814	-4.796	1	-19.878	0.000
"Equatorial Guinea"	3	"Full Range"	1990.000	2021.000	-5.978	-6.334	-5.620	1	-31.801	0.000
"Eritrea"	3	"Full Range"	1990.000	2021.000	-3.032	-3.384	-2.678	1	-16.570	0.000
"Estonia"	2	"Full Range"	1990.000	2021.000	-6.919	-7.725	-6.106	1	-16.155	0.000
"Eswatini"	4	"Full Range"	1990.000	2021.000	-2.095	-2.751	-1.436	1	-6.180	0.000
"Ethiopia"	4	"Full Range"	1990.000	2021.000	-5.185	-5.542	-4.826	1	-27.631	0.000
"Fiji"	4	"Full Range"	1990.000	2021.000	-3.458	-3.720	-3.195	1	-25.396	0.000
"Finland"	5	"Full Range"	1990.000	2021.000	-9.898	-12.551	-7.163	1	-6.833	0.000
"France"	4	"Full Range"	1990.000	2021.000	-5.261	-6.204	-4.308	1	-10.583	0.000
"Gabon"	5	"Full Range"	1990.000	2021.000	-2.606	-2.923	-2.289	1	-15.904	0.000
"Gambia"	5	"Full Range"	1990.000	2021.000	-2.480	-3.206	-1.748	1	-6.584	0.000
"Georgia"	4	"Full Range"	1990.000	2021.000	-5.601	-7.517	-3.645	1	-5.509	0.000
"Germany"	4	"Full Range"	1990.000	2021.000	-4.740	-5.389	-4.087	1	-13.926	0.000
"Ghana"	5	"Full Range"	1990.000	2021.000	-2.777	-3.011	-2.543	1	-22.931	0.000
"Global"	2	"Full Range"	1990.000	2021.000	-4.009	-4.237	-3.779	1	-33.618	0.000
"Greece"	4	"Full Range"	1990.000	2021.000	-1.344	-2.327	-0.352	1	-2.651	0.008
"Greenland"	2	"Full Range"	1990.000	2021.000	-5.163	-5.930	-4.389	1	-12.790	0.000
"Grenada"	4	"Full Range"	1990.000	2021.000	-2.337	-3.645	-1.012	1	-3.439	0.001
"Guam"	4	"Full Range"	1990.000	2021.000	-1.274	-2.176	-0.363	1	-2.736	0.006
"Guatemala"	5	"Full Range"	1990.000	2021.000	-4.544	-5.267	-3.815	1	-11.983	0.000
"Guinea"	5	"Full Range"	1990.000	2021.000	-3.272	-3.767	-2.774	1	-12.696	0.000
"Guinea-Bissau"	2	"Full Range"	1990.000	2021.000	-3.158	-3.420	-2.896	1	-23.237	0.000
"Guyana"	3	"Full Range"	1990.000	2021.000	-1.881	-2.625	-1.131	1	-4.888	0.000
"Haiti"	4	"Full Range"	1990.000	2021.000	-3.242	-3.434	-3.050	1	-32.499	0.000
"Honduras"	4	"Full Range"	1990.000	2021.000	-4.236	-4.507	-3.963	1	-29.887	0.000
"Hungary"	4	"Full Range"	1990.000	2021.000	-4.522	-5.432	-3.604	1	-9.474	0.000
"Iceland"	1	"Full Range"	1990.000	2021.000	-5.351	-6.148	-4.547	1	-12.741	0.000
"India"	1	"Full Range"	1990.000	2021.000	-3.812	-4.081	-3.542	1	-27.162	0.000
"Indonesia"	5	"Full Range"	1990.000	2021.000	-5.655	-5.829	-5.482	1	-62.064	0.000
"Iran (Islamic Republic of)"	2	"Full Range"	1990.000	2021.000	-5.169	-5.423	-4.913	1	-38.682	0.000
"Iraq"	5	"Full Range"	1990.000	2021.000	-4.493	-4.795	-4.190	1	-28.476	0.000
